Latitude_degree,Longitudedegree,Water_Sample_Depth_m,Microplastics_measurement,Toxicity,Color,nearest_current_speed,nearest_u_current,nearest_v_current,is_land
60.580167,0.525,0.1,0.041007,High,Red,0.1718982306154395,0.0700000002980232,-0.1570000052452087,False
56.823833,1.223667,0.1,0.0,Low,Green,0.1317953042783005,0.0990000069141388,-0.0870000049471855,False
56.799167,1.650167,0.1,0.009711,Medium,Blue,0.1166061815910511,0.0940000042319297,-0.0690000057220459,False
60.432333,1.321667,0.1,0.029562,High,Red,0.208038465294813,0.164000004529953,-0.1280000060796737,False
58.515167,0.444667,0.1,0.022677,High,Red,0.1520526309293481,0.1240000054240226,-0.0880000069737434,False
58.218667,0.814833,0.1,0.022834,High,Red,0.1390539534061992,0.106000006198883,-0.0900000035762786,False
78.8495,9.39896,8.5,2.5,High,Red,0.1329097536707383,0.1030000075697898,-0.0840000063180923,False
80.1287,6.08353,8.5,1.0,High,Red,0.1155248912529035,0.0110000008717179,-0.1150000020861625,False
80.1349,6.14062,721.0,95.0,High,Red,0.1151216804777057,0.0220000017434358,-0.1130000054836273,False
80.1349,6.14062,75.0,0.0,Low,Green,0.1151216804777057,0.0220000017434358,-0.1130000054836273,False
80.1349,6.14062,8.0,148.0,High,Red,0.1151216804777057,0.0220000017434358,-0.1130000054836273,False
-13.164437,1.844426,11.0,2.0,High,Red,0.1546738576009555,0.1180000081658363,0.1000000014901161,False
-13.799537,2.217272,11.0,1.5,High,Red,0.1372005899384318,0.1100000068545341,0.0820000022649765,False
-14.387384,2.563517,11.0,0.5,High,Red,0.1130044301934792,0.06700000166893,0.0910000056028366,False
-15.04753,2.953221,11.0,0.5,High,Red,0.1454269647593914,0.0850000008940696,0.1180000081658363,False
-15.791501,3.394063,11.0,0.0,Low,Green,0.2051536064372755,0.1780000030994415,0.1020000055432319,False
-16.864166,4.031864,11.0,2.5,High,Red,0.1590125898570268,0.1380000114440918,0.0790000036358833,False
-17.524571,4.426897,11.0,1.0,High,Red,0.0327566799265527,0.0170000009238719,0.0280000008642673,False
-18.18641,4.823897,11.0,0.5,High,Red,0.0954620409517041,0.0370000004768371,0.0880000069737434,False
-18.890864,5.248044,11.0,0.5,High,Red,0.1294681464116038,0.0510000027716159,0.1190000027418136,False
-19.468007,5.596789,11.0,8.5,High,Red,0.1443606673305756,0.106000006198883,0.0980000048875808,False
-20.382596,6.42863,11.0,0.0,Low,Green,0.1290348824874112,0.0390000008046627,0.1230000033974647,False
-21.168574,6.88935,11.0,0.5,High,Red,0.2423922565825544,0.0850000008940696,0.2270000129938125,False
-22.371272,7.59897,11.0,2.0,High,Red,0.2994010728424889,-0.0450000017881393,0.2960000038146972,False
-22.886368,7.904522,11.0,0.0,Low,Green,0.1540292320720293,-0.003000000026077,0.1540000140666961,False
